Date,Time,Open,High,Low,Close,Vol,OI
05/14/2019,17:00:00,2755.00000,2802.75000,2748.75000,2788.25000,1797995,2582391
05/15/2019,17:00:00,2789.75000,2809.00000,2764.00000,2804.00000,1753507,2570615
05/16/2019,17:00:00,2802.50000,2843.00000,2789.50000,2827.50000,1926351,2590826
05/17/2019,17:00:00,2828.75000,2836.50000,2801.50000,2811.00000,1926351,2576603
05/20/2019,17:00:00,2810.50000,2825.50000,2781.50000,2793.00000,1659139,2577304
05/21/2019,17:00:00,2797.00000,2819.75000,2795.25000,2815.00000,1303238,2568376
05/22/2019,17:00:00,2813.75000,2818.50000,2797.25000,2806.50000,1258767,2570144
05/23/2019,17:00:00,2806.75000,2807.50000,2754.75000,2768.50000,2013518,2573179
05/24/2019,17:00:00,2770.75000,2791.00000,2768.25000,2780.75000,1201967,2571660
05/28/2019,17:00:00,2780.00000,2790.25000,2749.50000,2754.00000,1633540,2574079
05/29/2019,17:00:00,2753.25000,2755.00000,2715.25000,2729.00000,2087458,2577428
05/30/2019,17:00:00,2728.50000,2748.00000,2725.50000,2739.50000,2211587,2596985
05/31/2019,17:00:00,2737.75000,2740.00000,2699.00000,2701.50000,2211587,2580670
06/03/2019,17:00:00,2690.00000,2712.75000,2677.75000,2698.50000,2297243,2576711
06/04/2019,17:00:00,2703.00000,2755.25000,2693.00000,2754.00000,1836910,2570524
06/05/2019,17:00:00,2755.50000,2778.50000,2750.00000,2776.75000,1743779,2539499
06/06/2019,17:00:00,2769.50000,2802.00000,2761.75000,2794.75000,1687328,2551875
06/07/2019,17:00:00,2789.00000,2835.25000,2787.00000,2824.00000,1687328,2550208
06/10/2019,17:00:00,2842.25000,2854.75000,2829.50000,2838.25000,1416247,2552148
06/11/2019,17:00:00,2839.25000,2860.50000,2828.25000,2836.00000,1397028,2530596
06/12/2019,17:00:00,2836.25000,2840.00000,2824.25000,2830.00000,1205406,2495060
06/13/2019,17:00:00,2831.00000,2845.50000,2816.50000,2843.50000,523312,448119
06/14/2019,17:00:00,2842.50000,2847.75000,2829.25000,2839.75000,1318938,951568
06/17/2019,17:00:00,2840.00000,2849.75000,2837.00000,2841.25000,1649621,1595842
06/18/2019,17:00:00,2843.00000,2881.50000,2834.00000,2871.25000,2257843,2093571
06/19/2019,17:00:00,2869.75000,2881.75000,2860.25000,2878.50000,1666878,2336928
06/20/2019,17:00:00,2875.75000,2909.50000,2875.50000,2905.00000,1876076,2431817
06/21/2019,17:00:00,2902.75000,2914.25000,2892.75000,2895.50000,1547604,2440112
06/24/2019,17:00:00,2893.00000,2906.75000,2892.25000,2897.00000,910166,2443361
06/25/2019,17:00:00,2896.00000,2903.25000,2865.00000,2867.00000,1417191,2437612
06/26/2019,17:00:00,2867.50000,2884.00000,2859.50000,2863.00000,1232682,2454470
06/27/2019,17:00:00,2859.75000,2880.75000,2859.75000,2876.00000,1322759,2448587
06/28/2019,17:00:00,2877.75000,2900.25000,2875.00000,2889.25000,1322759,2447733
07/01/2019,17:00:00,2915.00000,2926.75000,2900.50000,2912.75000,1457722,2497814
07/02/2019,17:00:00,2913.00000,2925.00000,2903.50000,2924.50000,1119495,2512020
07/03/2019,17:00:00,2924.00000,2946.50000,2918.75000,2945.25000,805258,2552643
07/05/2019,17:00:00,2947.75000,2949.00000,2916.25000,2935.50000,1339312,2550671
07/08/2019,17:00:00,2935.75000,2939.75000,2918.25000,2923.50000,1016611,2536264
07/09/2019,17:00:00,2922.75000,2931.25000,2908.50000,2927.00000,956650,2535787
07/10/2019,17:00:00,2927.25000,2952.50000,2916.25000,2942.50000,1422362,2589325
07/11/2019,17:00:00,2941.00000,2951.75000,2937.50000,2949.00000,1181911,2591653
07/12/2019,17:00:00,2948.00000,2963.00000,2947.25000,2960.50000,969956,2604976
07/15/2019,17:00:00,2960.25000,2968.50000,2955.75000,2962.25000,829936,2615781
07/16/2019,17:00:00,2962.25000,2966.75000,2949.50000,2952.00000,939814,2602908
07/17/2019,17:00:00,2950.75000,2958.00000,2925.50000,2930.00000,1039457,2605527
07/18/2019,17:00:00,2925.75000,2950.25000,2919.50000,2942.50000,1345038,2609493
07/19/2019,17:00:00,2948.75000,2954.75000,2914.50000,2922.00000,1482373,2581006
07/22/2019,17:00:00,2919.50000,2938.50000,2917.50000,2934.00000,1098399,2578540
07/23/2019,17:00:00,2933.75000,2953.50000,2932.50000,2953.00000,1056909,2594758
07/24/2019,17:00:00,2948.00000,2967.00000,2941.00000,2966.50000,1068766,2610627
07/25/2019,17:00:00,2963.00000,2972.75000,2943.00000,2951.50000,961015,2602550
07/26/2019,17:00:00,2951.50000,2974.50000,2951.00000,2969.50000,961015,2601816
07/29/2019,17:00:00,2967.00000,2972.25000,2960.50000,2966.75000,823572,2590697
07/30/2019,17:00:00,2967.25000,2972.50000,2946.50000,2957.25000,1182050,2589607
07/31/2019,17:00:00,2961.25000,2965.75000,2903.00000,2927.25000,1951108,2563073
08/01/2019,17:00:00,2915.25000,2959.25000,2889.50000,2897.00000,2736926,2591795
08/02/2019,17:00:00,2895.25000,2906.00000,2858.50000,2877.50000,2447014,2543600
08/05/2019,17:00:00,2874.25000,2878.50000,2765.50000,2775.00000,3072122,2546479
08/06/2019,17:00:00,2761.25000,2828.75000,2720.75000,2821.00000,2601037,2534695
08/07/2019,17:00:00,2818.75000,2836.50000,2768.25000,2825.50000,2680813,2503075
08/08/2019,17:00:00,2824.00000,2885.75000,2815.50000,2885.00000,1800667,2482349
08/09/2019,17:00:00,2873.00000,2880.75000,2844.00000,2864.75000,2026304,2459531
08/12/2019,17:00:00,2863.75000,2876.00000,2817.50000,2825.25000,1710875,2465174
08/13/2019,17:00:00,2827.25000,2889.25000,2811.75000,2877.00000,2184012,2474720
08/14/2019,17:00:00,2876.00000,2881.50000,2780.75000,2785.75000,2786308,2489161
08/15/2019,17:00:00,2781.00000,2816.75000,2762.75000,2793.50000,2495340,2513286
08/16/2019,17:00:00,2796.00000,2839.75000,2794.50000,2836.50000,1631175,2465029
08/19/2019,17:00:00,2838.00000,2877.25000,2837.50000,2868.75000,1285798,2455579
08/20/2019,17:00:00,2866.25000,2877.25000,2839.25000,2843.25000,1475214,2482684
08/21/2019,17:00:00,2838.25000,2877.50000,2838.00000,2874.25000,1180368,2493806
08/22/2019,17:00:00,2876.25000,2884.75000,2849.25000,2867.25000,2864662,2503679
08/23/2019,17:00:00,2865.25000,2881.75000,2779.00000,2800.50000,2864662,2500435
08/26/2019,17:00:00,2776.00000,2833.50000,2755.25000,2828.25000,1850231,2518844
08/27/2019,17:00:00,2827.75000,2844.50000,2805.00000,2810.50000,1528362,2502439
08/28/2019,17:00:00,2811.25000,2835.50000,2796.75000,2834.75000,1489617,2504504
08/29/2019,17:00:00,2828.25000,2875.75000,2820.25000,2871.75000,1489670,2498391
08/30/2019,17:00:00,2868.25000,2891.50000,2858.25000,2869.75000,1642516,2477540
09/03/2019,17:00:00,2846.00000,2871.50000,2834.00000,2851.00000,1999829,2490286
09/04/2019,17:00:00,2848.00000,2884.50000,2847.00000,2883.50000,1252834,2495612
09/05/2019,17:00:00,2883.00000,2931.50000,2881.50000,2917.00000,1182287,2488954
